Zipcode,Name,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Poverty Rate,average rent
95338,ZCTA5 95338,10784.0,51.0,49207.0,25797.0,1894.0,17.56305637982196,669.0
95340,ZCTA5 95340,36541.0,31.8,50334.0,23857.0,8200.0,22.4405462357352,734.0
95341,ZCTA5 95341,32787.0,26.7,32957.0,12750.0,12238.0,37.32576935980724,691.0
95345,ZCTA5 95345,580.0,48.5,-666666666.0,32633.0,172.0,29.655172413793103,496.0
95346,ZCTA5 95346,1888.0,58.6,53310.0,28904.0,200.0,10.59322033898305,959.0
95348,ZCTA5 95348,33555.0,29.3,41741.0,20309.0,7953.0,23.701385784532857,789.0
95350,ZCTA5 95350,51441.0,38.6,43876.0,23423.0,10132.0,19.69635115958088,818.0
95351,ZCTA5 95351,49243.0,29.1,36548.0,13235.0,15425.0,31.324249131856305,781.0
95354,ZCTA5 95354,25485.0,33.2,41558.0,20719.0,6220.0,24.406513635471846,747.0
95355,ZCTA5 95355,58872.0,38.1,59403.0,27878.0,6262.0,10.636635412420166,909.0
95356,ZCTA5 95356,32827.0,36.0,66286.0,32974.0,4047.0,12.328266366101076,925.0
95357,ZCTA5 95357,11717.0,36.0,58582.0,23148.0,2310.0,19.714944098318682,1004.0
95358,ZCTA5 95358,32758.0,30.5,51086.0,18952.0,7722.0,23.572867696440564,875.0
95360,ZCTA5 95360,12243.0,33.1,48454.0,18081.0,2219.0,18.12464265294454,815.0
95361,ZCTA5 95361,33741.0,38.3,57649.0,29164.0,4586.0,13.59177262084704,780.0
95363,ZCTA5 95363,26291.0,31.1,54440.0,20166.0,5043.0,19.181468943745006,1045.0
95364,ZCTA5 95364,0.0,-666666666.0,-666666666.0,-666666666.0,0.0,,-666666666.0
95365,ZCTA5 95365,4855.0,28.5,35816.0,12883.0,1581.0,32.564366632337794,535.0
95366,ZCTA5 95366,17118.0,38.3,78722.0,34906.0,1714.0,10.012851968687931,1002.0
95367,ZCTA5 95367,24657.0,31.8,62326.0,22734.0,2673.0,10.840734882589123,892.0
95368,ZCTA5 95368,13826.0,30.7,71730.0,24256.0,1163.0,8.411688123824678,1085.0
95369,ZCTA5 95369,1011.0,39.3,49141.0,22083.0,213.0,21.068249258160236,451.0
95370,ZCTA5 95370,28124.0,47.5,49904.0,32064.0,4190.0,14.898307495377614,833.0
95372,ZCTA5 95372,2068.0,36.0,72917.0,28479.0,205.0,9.912959381044487,1126.0
95374,ZCTA5 95374,1702.0,37.3,45132.0,28328.0,361.0,21.210340775558166,821.0
95375,ZCTA5 95375,116.0,58.4,-666666666.0,19497.0,0.0,0.0,-666666666.0
95376,ZCTA5 95376,51245.0,33.9,68596.0,25562.0,5006.0,9.768757927602692,1216.0
95377,ZCTA5 95377,32462.0,33.9,96440.0,28911.0,1841.0,5.671246380383217,1710.0
95379,ZCTA5 95379,3296.0,45.0,52514.0,25735.0,679.0,20.600728155339805,531.0
95380,ZCTA5 95380,41865.0,32.8,41302.0,19841.0,9016.0,21.535889167562402,749.0
95382,ZCTA5 95382,37138.0,37.4,66116.0,30112.0,3920.0,10.555226452689967,951.0
95383,ZCTA5 95383,3471.0,54.6,47273.0,31924.0,418.0,12.042639008931143,759.0
95385,ZCTA5 95385,396.0,39.2,40486.0,29828.0,9.0,2.272727272727273,510.0
95386,ZCTA5 95386,10324.0,33.1,52695.0,19383.0,2231.0,21.60984114684231,734.0
95387,ZCTA5 95387,520.0,15.7,21579.0,7742.0,305.0,58.65384615384615,337.0
95388,ZCTA5 95388,13885.0,28.4,42705.0,16405.0,2754.0,19.834353619013324,648.0
95389,ZCTA5 95389,1651.0,36.7,39516.0,28172.0,280.0,16.959418534221683,384.0
95391,ZCTA5 95391,14254.0,34.4,117804.0,32979.0,1046.0,7.338291006033394,1908.0
95401,ZCTA5 95401,39400.0,35.7,56932.0,26968.0,5802.0,14.725888324873097,1210.0
95403,ZCTA5 95403,46294.0,37.8,64236.0,32706.0,4672.0,10.092020564219986,1286.0
95404,ZCTA5 95404,40699.0,42.2,69230.0,40643.0,4772.0,11.725103810904445,1196.0
95405,ZCTA5 95405,21351.0,45.5,75974.0,38947.0,1461.0,6.84277083040607,1359.0
95407,ZCTA5 95407,41249.0,32.1,54715.0,20763.0,7171.0,17.384663870639287,1181.0
95409,ZCTA5 95409,26805.0,51.3,67550.0,40173.0,2106.0,7.856743144935646,1408.0
95410,ZCTA5 95410,890.0,46.8,39943.0,29723.0,150.0,16.853932584269664,1125.0
95412,ZCTA5 95412,452.0,33.8,67708.0,26785.0,57.0,12.610619469026549,890.0
95415,ZCTA5 95415,1312.0,34.1,32826.0,19143.0,365.0,27.820121951219512,716.0
95417,ZCTA5 95417,237.0,52.6,71047.0,42751.0,0.0,0.0,-666666666.0
