Zipcode,City,State,CountyName,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Poverty Rate,average rent,Median Home Value,Number of House Build in year,Avg_HomeValue,Employment Rate,Latitude,Longitude,Temp
90042,Los Angeles,CA,Los Angeles,63109.0,34.7,51444.0,23314.0,13124.0,20.79576605555468,1043.0,451100.0,1949.0,632208.3333333335,54.80517834223328,34.05,-118.24,82.62
90043,Los Angeles,CA,Los Angeles,44328.0,40.0,41449.0,26687.0,8983.0,20.264843890994406,927.0,394300.0,1946.0,501783.33333333326,50.47148529146365,34.05,-118.24,82.62
90044,Los Angeles,CA,Los Angeles,90155.0,30.7,30288.0,13515.0,32168.0,35.68077200377128,890.0,300300.0,1952.0,341816.66666666674,42.7829848594088,34.05,-118.24,82.62
90045,Los Angeles,CA,Los Angeles,41145.0,34.7,81058.0,44571.0,4180.0,10.159193097581722,1633.0,774000.0,1957.0,980925.0,57.75185320209017,34.05,-118.24,82.62
90046,Los Angeles,CA,Los Angeles,50923.0,39.2,61157.0,61916.0,7274.0,14.28431160772146,1395.0,929600.0,1961.0,1274391.666666667,72.2188402097284,34.05,-118.24,82.62
90047,Los Angeles,CA,Los Angeles,48306.0,39.0,40913.0,20815.0,10238.0,21.19405456879063,976.0,322300.0,1946.0,386150.0,47.47650395396017,34.05,-118.24,82.62
90048,Los Angeles,CA,Los Angeles,22722.0,36.5,83672.0,67985.0,2021.0,8.894463515535604,1752.0,1068100.0,1958.0,1631550.0,68.93319250066016,34.05,-118.24,82.62
90049,Los Angeles,CA,Los Angeles,35581.0,41.2,117007.0,96078.0,2365.0,6.646805879542452,1906.0,1735800.0,1968.0,2386016.666666666,57.52508361204014,34.05,-118.24,82.62
90056,Ladera Heights,CA,Los Angeles,8118.0,50.1,74959.0,47886.0,483.0,5.9497413155949745,1391.0,839800.0,1958.0,949250.0,51.14560236511456,33.99,-118.38,79.93
90057,Los Angeles,CA,Los Angeles,48302.0,33.3,29332.0,14399.0,17039.0,35.2759720094406,863.0,363700.0,1961.0,393566.66666666674,55.039128814541854,34.05,-118.24,82.62
90059,Los Angeles,CA,Los Angeles,46027.0,26.3,35061.0,11822.0,16688.0,36.25697959893107,757.0,261000.0,1952.0,302391.66666666674,41.262737089099886,34.05,-118.24,82.62
90061,Los Angeles,CA,Los Angeles,27203.0,29.1,36094.0,13927.0,8926.0,32.81255743851781,951.0,283600.0,1955.0,328858.33333333326,42.88865198691321,34.05,-118.24,82.62
