Zipcode,Name,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Poverty Rate,average rent,Median Home Value
01344,ZCTA5 01344,1582.0,41.6,61563.0,27271.0,201.0,12.705436156763591,663.0,199800.0
01346,ZCTA5 01346,465.0,50.1,56500.0,33586.0,49.0,10.53763440860215,775.0,213800.0
01347,ZCTA5 01347,133.0,38.9,39211.0,19143.0,22.0,16.541353383458645,-666666666.0,103800.0
01349,ZCTA5 01349,1106.0,42.1,60493.0,25594.0,47.0,4.249547920433996,649.0,192300.0
01350,ZCTA5 01350,95.0,45.5,31750.0,22175.0,6.0,6.315789473684211,725.0,104700.0
01351,ZCTA5 01351,2312.0,46.4,81833.0,39407.0,190.0,8.217993079584774,740.0,268100.0
01354,ZCTA5 01354,1656.0,44.4,74167.0,33295.0,132.0,7.971014492753623,629.0,240600.0
01355,ZCTA5 01355,915.0,51.5,68681.0,36187.0,56.0,6.120218579234972,775.0,254900.0
01360,ZCTA5 01360,3006.0,45.7,63963.0,33157.0,127.0,4.224883566200932,648.0,234500.0
01364,ZCTA5 01364,7832.0,46.5,37911.0,22077.0,1049.0,13.393769152196118,619.0,159500.0
01366,ZCTA5 01366,1202.0,50.5,65774.0,35322.0,55.0,4.575707154742097,678.0,279900.0
01367,ZCTA5 01367,686.0,42.2,50357.0,25178.0,151.0,22.011661807580175,725.0,190000.0
01368,ZCTA5 01368,1363.0,48.3,67333.0,28429.0,138.0,10.12472487160675,880.0,213000.0
01370,ZCTA5 01370,3879.0,51.4,54803.0,36488.0,378.0,9.74477958236659,726.0,242000.0
01373,ZCTA5 01373,4184.0,46.8,71174.0,36138.0,234.0,5.592734225621415,853.0,277500.0
01375,ZCTA5 01375,3673.0,27.7,53934.0,34286.0,645.0,17.56057718486251,1125.0,278200.0
01376,ZCTA5 01376,5101.0,43.8,41836.0,25130.0,1038.0,20.34895118604195,675.0,184400.0
01378,ZCTA5 01378,734.0,54.8,56985.0,31262.0,64.0,8.719346049046322,913.0,206800.0
01379,ZCTA5 01379,775.0,52.0,44750.0,29457.0,126.0,16.258064516129032,675.0,205700.0
01420,ZCTA5 01420,40441.0,34.6,50617.0,23622.0,7368.0,18.21913404713039,725.0,180200.0
01430,ZCTA5 01430,6171.0,42.3,86219.0,35860.0,375.0,6.076810889645114,922.0,239900.0
01431,ZCTA5 01431,3196.0,45.4,89934.0,32514.0,246.0,7.69712140175219,1128.0,247000.0
01432,ZCTA5 01432,7594.0,38.8,77462.0,42565.0,899.0,11.838293389518041,771.0,292800.0
01434,ZCTA5 01434,1716.0,43.0,54318.0,15055.0,150.0,8.741258741258742,938.0,243300.0
01436,ZCTA5 01436,3823.0,40.8,77083.0,28266.0,328.0,8.579649489929375,532.0,171800.0
01438,ZCTA5 01438,635.0,48.4,70028.0,27062.0,161.0,25.35433070866142,-666666666.0,211400.0
01440,ZCTA5 01440,20334.0,39.8,46410.0,24680.0,3637.0,17.886298809875086,680.0,173200.0
01450,ZCTA5 01450,11182.0,45.1,117500.0,50656.0,441.0,3.9438383115721694,955.0,427800.0
01451,ZCTA5 01451,4629.0,47.6,140192.0,64234.0,201.0,4.342190537913156,1243.0,565100.0
01452,ZCTA5 01452,4537.0,44.5,84803.0,34042.0,223.0,4.915142164425832,865.0,239300.0
01453,ZCTA5 01453,41336.0,40.8,56577.0,29527.0,5604.0,13.557189858718793,772.0,227000.0
01460,ZCTA5 01460,9538.0,45.2,108704.0,49488.0,268.0,2.8098133780666807,1048.0,392300.0
01462,ZCTA5 01462,11087.0,45.7,89706.0,40771.0,809.0,7.296834130062235,1199.0,273600.0
01463,ZCTA5 01463,12031.0,43.5,84980.0,37824.0,589.0,4.89568614412767,883.0,315500.0
01464,ZCTA5 01464,7433.0,43.0,68864.0,29748.0,622.0,8.368088255078703,870.0,310600.0
