Zipcode,City,State,CountyName,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12
94158,San Francisco,CA,San Francisco,1230700,1240400,1244100,1237700,1224900,1212200,1204100,1203800,1214400,1217700,1211800,1209600
92067,Rancho Santa Fe,CA,San Diego,2712500,2724900,2731100,2741200,2738100,2720500,2713800,2719800,2722900,2724100,2736100,2746500
93109,Santa Barbara,CA,Santa Barbara,1195400,1190300,1187400,1192400,1202700,1212500,1218900,1222000,1226300,1233400,1242000,1246200
93465,Templeton,CA,San Luis Obispo,538100,540500,544200,548200,551000,556400,562000,562900,559000,556400,557300,560700
90701,Artesia,CA,Los Angeles,465300,469100,473000,479000,486300,494500,502400,507000,509700,512600,518100,523100
95334,Livingston,CA,Merced,187400,188100,189500,191300,193800,196800,199700,202400,205300,207700,210000,212300
92313,Grand Terrace,CA,San Bernardino,306200,308300,310900,313100,314700,315700,316100,317400,318700,319000,319600,323100
92325,Crestline,CA,San Bernardino,176700,178000,179300,181500,182800,183300,184500,187500,190300,191900,193000,195000
95811,Sacramento,CA,Sacramento,435700,438200,438100,440300,443300,445600,448400,449500,452100,458200,459600,456900
91108,San Marino,CA,Los Angeles,2227300,2245200,2255800,2260000,2258500,2252700,2256800,2271200,2285800,2292400,2301300,2319400
92657,Newport Coast,CA,Orange,2537700,2545600,2549000,2551200,2550000,2550100,2559500,2577900,2592900,2604200,2614700,2627400
94574,Saint Helena,CA,Napa,1059000,1070200,1085400,1119200,1157200,1165800,1152300,1137600,1138400,1151000,1171000,1190400
90755,Signal Hill,CA,Los Angeles,443600,445000,445000,444000,443900,445600,448500,453800,457900,458500,459300,461000
92241,Desert Hot Springs,CA,Riverside,153100,153100,153500,156200,159600,161900,162900,164000,165200,168100,172900,177400
96067,Mount Shasta,CA,Siskiyou,244500,244300,246000,248300,248400,248400,250300,252500,253700,254200,254200,253500
93648,Parlier,CA,Fresno,142900,144900,148900,152500,154000,154500,155600,156500,157000,157000,157300,158200
94305,Stanford,CA,Santa Clara,3174800,3199700,3216000,3200900,3156400,3117600,3129100,3152900,3142400,3101500,3073200,3066900
95726,Pollock Pines,CA,El Dorado,248700,252100,255000,258300,260300,260600,261400,264300,267500,271500,275500,279000
93546,Mammoth Lakes,CA,Mono,543500,543300,542500,543200,544100,543900,546400,552000,558500,565400,572100,578500
95948,Gridley,CA,Butte,156500,158400,160700,163800,165100,165500,166700,169700,174600,179500,181900,181800
93543,Littlerock,CA,Los Angeles,189800,190800,192000,193600,196100,200900,207500,213900,218800,222500,225400,228100
95742,Rancho Cordova,CA,Sacramento,377400,380300,384500,388500,390800,392300,394800,397500,400000,403400,405700,407000
96019,Shasta Lake,CA,Shasta,157300,158300,159300,160000,160300,160700,161400,161700,162000,162500,162700,163000
94931,Cotati,CA,Sonoma,455600,457900,461600,464400,466400,469500,475100,481300,487500,493300,499500,505600
91708,Chino,CA,San Bernardino,414300,417700,421600,425600,429300,432000,434500,437800,440500,442400,444800,448100
90056,Ladera Heights,CA,Los Angeles,938700,936600,939500,942100,939500,939500,947000,956600,961500,964200,964900,960900
95360,Newman,CA,Stanislaus,215200,217600,218700,220400,223200,225500,226700,227400,227800,229100,231000,232500
93640,Mendota,CA,Fresno,130200,132000,132100,132200,133000,133700,134300,135400,136700,136600,137300,139000
95304,Tracy,CA,San Joaquin,495300,499700,504600,510000,514300,517100,518600,521500,525100,528000,529600,529900
91207,Glendale,CA,Los Angeles,918700,921300,919300,917800,916500,913500,913800,919900,928000,929900,926800,925100
93241,Lamont,CA,Kern,106400,107800,110000,111100,112300,114500,116100,116100,116300,116600,117100,118200
95388,Winton,CA,Merced,139100,140700,143000,144600,145600,146600,148000,149000,150200,152700,155100,157100
93636,Madera,CA,Madera,260700,262700,264700,266400,268200,270000,271900,273600,274200,274500,276200,278800
92210,Indian Wells,CA,Riverside,646800,643200,641500,643300,647500,652800,656600,658800,661900,667300,673500,677700
